"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get user me","LMS service","2026-08-29","passed","2026-08-29","Get entity","Users","",""
"","14","Get file","LMS service","2026-08-29","passed","2026-08-29","Get entity","Files","",""
"","258","Create file","LMS service","2026-08-29","passed","2026-08-29","Create entity","Files","",""
"","29","Create course","LMS service","2026-08-29","passed","2026-08-29","Create entity","Courses","",""
"","17","Get file with incorrect file id","LMS service","2026-08-29","passed","2026-08-29","Validate entity","Files","",""
"","17","Get exercises","LMS service","2026-08-29","passed","2026-08-29","Get entities","Exercises","",""
"","303","Get courses","LMS service","2026-08-29","passed","2026-08-29","Get entities","Courses","",""
"","532","Create user","LMS service","2026-08-29","passed","2026-08-29","Create entity","Users","",""
"","21","Create exercise","LMS service","2026-08-29","passed","2026-08-29","Create entity","Exercises","",""
"","285","Login with correct email and password","LMS service","2026-08-29","passed","2026-08-29","Login","Authentication","",""
"","23","Update exercise","LMS service","2026-08-29","passed","2026-08-29","Update entity","Exercises","",""
"","22","Delete file","LMS service","2026-08-29","passed","2026-08-29","Delete entity","Files","",""
"","287","Create user","LMS service","2026-08-29","passed","2026-08-29","Create entity","Users","",""
"","266","Create file with empty directory","LMS service","2026-08-29","passed","2026-08-29","Validate entity","Files","",""
"","25","Create file with empty filename","LMS service","2026-08-29","passed","2026-08-29","Validate entity","Files","",""
"","35","Update course","LMS service","2026-08-29","passed","2026-08-29","Update entity","Courses","",""
"","25","Get exercise","LMS service","2026-08-29","passed","2026-08-29","Get entity","Exercises","",""
"","551","Create user","LMS service","2026-08-29","passed","2026-08-29","Create entity","Users","",""
"","19","Delete exercise","LMS service","2026-08-29","passed","2026-08-29","Delete entity","Exercises","",""
